Species	Stable ID Abbv	2-Digit Abbv	4-Digit Abbv	Gspecies Abbv	Homology Method	Recip. % identity	Primary External Ref Outgoing Link	Sequence data source	Clade	NCBI	Familiar name
Solanum lycopersicum	SLY	Sl	slyc	slycopersicum	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Solanum tuberosum	STU	St	stub	stuberosum	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Sorghum bicolor	SBI	Sb	sbic	sbicolor	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Theobroma cacao	TCA	Tc	tcac	tcacao	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Trifolium pratense	TPR	Tp	tpra	tpratense	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Triticum aestivum	TAE	Ta	taes	taestivum	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Triticum dicoccoides	TDI	Td	tdic	tdicoccoides	Compara	40	Ensembl Gramene	Ensembl Gramene	m	85692	wild emmer wheat
Triticum turgidum	TTU	Tt	ttur	tturgidum	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Triticum urartu	TUR	Tu	tura	turartu	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Vigna angularis	VAN	Va	vang	vangularis	Compara	30	Ensembl Gramene	Ensembl Gramene	d	3914	adzuki bean
Vigna radiata	VRA	Vr	vrad	vradiata	Compara	30	Ensembl Gramene	Ensembl Gramene	d	157791	mung bean
Vitis vinifera	VVN (old: VVI)	Vv	vvin	vvinifera	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Zea mays	ZMA	Zm	zmay	zmays	Compara	40	MaizeGDB	Ensembl Gramene	m		
