Species	Stable ID Abbv	2-Digit Abbv	4-Digit Abbv	Gspecies Abbv	Homology Method	Recip. % identity	Primary External Ref Outgoing Link	Sequence data source	Clade	NCBI	Familiar name or description
Vigna angularis	VAN	Va	vang	vangularis	Compara	30	Ensembl Gramene	Ensembl Gramene	d	3914	adzuki bean
Vigna radiata	VRA	Vr	vrad	vradiata	Compara	30	Ensembl Gramene	Ensembl Gramene	d	157791	mung bean
Vitis vinifera	VVN (old: VVI)	Vv	vvin	vvinifera	Compara	30	Ensembl Gramene	Ensembl Gramene	d	29760	grape
Malus domestica	MDO	Md	mdom	mdomestica	Compara	30	Ensembl Gramene	Ensembl Gramene	d	3750	Golden apple
Aegilops tauschii	ATA	Ata	atau	athaliana	Compara	40	Ensembl Gramene	Ensembl Gramene	m	37682	Tausch's goatgrass
Brachypodium distachyon	BDI	Bd	bdis	bdistachyon	Compara	40	Ensembl Gramene	Ensembl Gramene	m	15368	false brome
Dioscorea rotundata	DRO	Dr	drot	drotundata	Compara	40	Ensembl Gramene	Ensembl Gramene	m	55577	white guinea yam
Eragrostis tef	ETE	Et	etef	etef	Compara	40	Ensembl Gramene	Ensembl Gramene	m	110835	teff
Hordeum vulgare	HVU	Hv	hvul	hvulgare	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4513	barley
Leersia perrieri	LPE	Lp	lper	lperrieri	Compara	40	Ensembl Gramene	Ensembl Gramene	m	77586	cutgrass
Musa acuminata	MAC	Ma	macu	macuminata	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4641	banana
Oryza barthii	OBA	Oba	obar	obarthii	Compara	40	Ensembl Gramene	Ensembl Gramene	m	65489	wild African rice
Oryza brachyantha	OBR	Obr	obra	obrachyantha	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4533	a rice
Oryza glaberrima	OGL	Ogla	ogla	oglaberrima	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4538	African rice
Oryza glumaepatula	OGU	Oglu	oglu	oglumaepatula	Compara	40	Ensembl Gramene	Ensembl Gramene	m	40148	brownbeard rice
Oryza longistaminata	OLO	Ol	olon	olongistaminata	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4528	longstamen rice
Oryza meridionalis	OME	Ome	omer	omeridionalis	Compara	40	Ensembl Gramene	Ensembl Gramene	m	40149	a rice
Oryza nivara	ONI	On	oniv	onivara	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4536	a rice
Oryza punctata	OPU	Op	opun	opunctata	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4537	red rice
Oryza rufipogon	ORU	Or	oruf	orufipogon	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4529	a rice
Oryza sativa Indica Group	OSI	Osi	osai	oindica	Compara	40	Ensembl Gramene	Ensembl Gramene	m	39946	lowland Asian rice
Panicum hallii	PHA	Ph	phal	phallii_fil2	Compara	40	Ensembl Gramene	Ensembl Gramene	m	206008	Hall's panicgrass
Panicum hallii var. hallii	PHH	Phh	phvh	phallii_hal2	Compara	40	Ensembl Gramene	Ensembl Gramene	m	1504633	Hall's panicgrass
Setaria italica	SIT	Si	sita	sitalica	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4555	foxtail millet
Sorghum bicolor	SBI	Sb	sbic	sbicolor	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4558	sorghum
Triticum aestivum	TAE	Ta	taes	taestivum	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4565	bread wheat
Triticum dicoccoides	TDI	Td	tdic	tdicoccoides	Compara	40	Ensembl Gramene	Ensembl Gramene	m	85692	wild emmer wheat
Triticum turgidum *	TTU	Tt	ttur	tturgidum	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4571	durum wheat
Triticum urartu	TUR	Tu	tura	turartu	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4572	red wild einkorn wheat
Zea mays	ZMA	Zm	zmay	zmays	Compara	40	MaizeGDB	Ensembl Gramene	m	4577	corn
Synechocystis sp. PCC 6803	SPC	Sp	spcc	spcc6803	Inparanoid	-	MicrobeDB	Jaiswal	b	1148	a cyanobacteria
Arachis duranensis	ADU	Ad	adur	aduranensis	Inparanoid	-	PeanutBase	PeanutBase	d	130453	an herb (ancestor to peanut)
Arachis ipaensis	AIP	Ai	aipa	aipaensis	Inparanoid	-	PeanutBase	PeanutBase	d	130454	an herb (ancestor to peanut)
Cajanus cajan	CCA	Cc	ccaj	ccajan	Inparanoid	-	LegumeInfo	LegumeInfo	d	3821	pigeonpea
Cannabis sativa	CSC	Cns	cnst	csativa	Inparanoid	-	N/A	JCVI	d	3483	cannabis
Cannabis sativa subsp. Indica	CSK	Cst	csti	csativaindica	Inparanoid	-	CCBR-UToronto	CCBR-UToronto	d	1302822	cannabis cultivar
Capsella rubella	CRU	Cru	crub	crubella	Inparanoid	-	Phytozome	Phytozome	d	81985	pink shepherd's-purse
Cicer arietinum	CAR	Ca	cari	carietinum	Inparanoid	-	Phytozome	NCBI	d	3827	chickpea
Citrullus lanatus	CLA	Cl	clan	clanatus	Inparanoid	-	CuGenDB	CuGenDB	d	3654	watermelon
Citrus sinensis	CSI	Cs	csin	csinensis	Inparanoid	-	Phytozome	Phytozome	d	2711	orange
Corchorus olitorius	COL	Co	coli	colitorius	Inparanoid	-	UniProt	NCBI	d	93759	jute mallow
Erythranthe guttata	MGU	Mg	mgut	mguttatus	Inparanoid	-	Phytozome	Phytozome	d	4155	seep monkeyflower
Eucalyptus grandis	EGR	Eg	egra	egrandis	Inparanoid	-	Phytozome	Phytozome	d	71139	eucalyptus
Fragaria vesca	FVE	Fv	fves	fvesca	Inparanoid	-	Phytozome	Phytozome	d	57918	strawberry
Humulus lupulus haplotig	HLH	Hlh	hluh	hlupulushaplotig	Inparanoid	-	N/A	Hendrix	d	3486	hops
Humulus lupulus primary	HLP	Hlp	hlup	hlupulusprimary	Inparanoid	-	N/A	Hendrix	d	1571165	hops
Jatropha curcas	JCU	Jc	jcur	jcurcas	Inparanoid	-	KDRI (Kazusa)	KDRI (Kazusa)	d	180498	physic nut
Nelumbo nucifera	NNU	Nn	nnuc	nnucifera	Inparanoid	-	N/A	iPlant Collaborative	d	4432	lotus
Salvia hispanica	SHI	Sh	shis	shispanica	Inparanoid	-	N/A	Jaiswal	d	49212	chia
Asparagus officinalis	AOF	Ao	aoff	aofficinalis	Inparanoid	-	Phytozome	Phytozome	m	4686	asparagus
Oryza australiensis	OAU	Oa	oaus	oaustraliensis	Inparanoid	-	N/A	OMAP/OGE	m	4532	a rice
Oryza meyeriana var. granulata	OGR	Ogr	ogra	ogranulata	Inparanoid	-	N/A	OMAP/OGE	m	110450	a rice
Oryza minuta	OMI	Omi	omin	ominuta	Inparanoid	-	N/A	OMAP/OGE	m	63629	a rice
Oryza officinalis	OOF	Oo	ooff	oofficinalis	Inparanoid	-	N/A	OMAP/OGE	m	4535	a rice
Oryza sativa aus kasalath	OKA	Ok	okas	okasalath	Inparanoid	-	N/A	PMID: 24578372	m	1736659	a rice
Phoenix dactylifera	PDA	Pd	pdac	pdactylifera	Inparanoid	-	N/A	PMID: 23917264	m	42345	date palm
Phyllostachys edulis	PED	Pe	pedu	pedulis	Inparanoid	-	Gent-PSB-Plaza	NCGR	m	38705	bamboo
Zoysia japonica	ZJA	Zj	zjap	zjaponica	Inparanoid	-	KDRI (Kazusa)	KDRI (Kazusa)	m	309978	Korean lawngrass
Picea abies	PAB	Pa	pabi	pabies	Inparanoid	-	Congenie	Congenie	p	3329	Norway spruce
Pinus taeda	PTA	Pta	ptae	ptaeda	Inparanoid	-	N/A	TreeBase	p	3352	loblolly pine
